source_db_path,target_db_path,output_path,comparison_number,status,match_count,error_message,duration_seconds,peak_memory_mb,early_escape_detected
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/148_أبو_حمزة_الثمالي_تفسير_أبي_حمزة_الثمالي_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_148_أبو_حمزة_الثمالي_تفسير_أبي_حمزة_الثمالي_copy1.jsonl,1,completed,27,,105.954110686,6506,false
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/260_المنسوب_إلى_الإمام_تفسير_الإمام_العسكري_(ع)_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_260_المنسوب_إلى_الإمام_تفسير_الإمام_العسكري_(ع)_copy1.jsonl,2,completed,4,,195.982059727,7136,false
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/274_أحمد_بن_محمد_المحاسن_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_274_أحمد_بن_محمد_المحاسن_copy1.jsonl,3,completed,1,,212.880737766,7004,false
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/290_محمد_بن_الحسن_بصائر_الدرجات_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_290_محمد_بن_الحسن_بصائر_الدرجات_copy1.jsonl,4,completed,0,,202.443982078,7206,false
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/300_الحميري_القمي_قرب_الاسناد_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_300_الحميري_القمي_قرب_الاسناد_copy1.jsonl,5,completed,0,,71.219122561,6941,false
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/320_محمد_بن_مسعود_تفسير_العياشي_copy1.db,./output/matches_320_محمد_بن_مسعود_تفسير_العياشي_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,6,completed,6,,267.446430966,7302,false
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/329_الشيخ_الكليني_الكافي_copy1.db,./output/matches_329_الشيخ_الكليني_الكافي_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,7,in_progress,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/381_الشيخ_الصدوق_الأمالي_copy1.db,./output/matches_381_الشيخ_الصدوق_الأمالي_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,8,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/381_الشيخ_الصدوق_الخصال_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_381_الشيخ_الصدوق_الخصال_copy1.jsonl,9,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/381_الشيخ_الصدوق_المقنع_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_381_الشيخ_الصدوق_المقنع_copy1.jsonl,10,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/381_الشيخ_الصدوق_الهداية_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_381_الشيخ_الصدوق_الهداية_copy1.jsonl,11,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/381_الشيخ_الصدوق_علل_الشرائع_copy1.db,./output/matches_381_الشيخ_الصدوق_علل_الشرائع_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,12,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/381_الشيخ_الصدوق_عيون_أخبار_الرضا_(ع)_copy1.db,./output/matches_381_الشيخ_الصدوق_عيون_أخبار_الرضا_(ع)_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,13,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/381_الشيخ_الصدوق_معاني_الأخبار_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_381_الشيخ_الصدوق_معاني_الأخبار_copy1.jsonl,14,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/381_الشيخ_الصدوق_من_لا_يحضره_الفقيه_copy1.db,./output/matches_381_الشيخ_الصدوق_من_لا_يحضره_الفقيه_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,15,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/40_خطب_الإمام_علي_نهج_البلاغة_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_40_خطب_الإمام_علي_نهج_البلاغة_copy1.jsonl,16,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/413_الشيخ_المفيد_الأمالي_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_413_الشيخ_المفيد_الأمالي_copy1.jsonl,17,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/413_الشيخ_المفيد_الاختصاص_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_413_الشيخ_المفيد_الاختصاص_copy1.jsonl,18,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/436_السيد_المرتضى_الذريعة_(أصول_فقه)_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_436_السيد_المرتضى_الذريعة_(أصول_فقه)_copy1.jsonl,19,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/460_الشيخ_الطوسي_الاستبصار_copy1.db,./output/matches_460_الشيخ_الطوسي_الاستبصار_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,20,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/460_الشيخ_الطوسي_التبيان_copy1.db,./output/matches_460_الشيخ_الطوسي_التبيان_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,21,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/460_الشيخ_الطوسي_تهذيب_الأحكام_copy1.db,./output/matches_460_الشيخ_الطوسي_تهذيب_الأحكام_copy1_224_أبو_عبيد_القاسم_غريب_الحديث.jsonl,22,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/460_الشيخ_الطوسي_عدة_الأصول_(ط.ق)_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_460_الشيخ_الطوسي_عدة_الأصول_(ط.ق)_copy1.jsonl,23,pending,,,,,
./ngrams/source/224_أبو_عبيد_القاسم_غريب_الحديث.db,./ngrams/target/ق 1_تحقيق_محمد_باقر_كتاب_سليم_بن_قيس_copy1.db,./output/matches_224_أبو_عبيد_القاسم_غريب_الحديث_ق 1_تحقيق_محمد_باقر_كتاب_سليم_بن_قيس_copy1.jsonl,24,pending,,,,,
